"노쨩 씹상남자였누 - WOW 갤러리","WOW","도박중독자","2018-08-23 08:42:38","ㅋㅋㅋㅋ"
"돼지는 지하철 자리나도 앉지마라 - WOW 갤러리","WOW","자낳괴","2018-08-23 08:40:50","경고했다"
"태풍게이 조루였노 - WOW 갤러리","WOW","코술","2018-08-23 08:19:07","팍~ 식어부렸노"
"혼자 전장뛰거나 필드놀기 - WOW 갤러리","WOW","흠흠","2018-08-23 08:11:05","도적이 좋지 법사보다? 드레노어랑 군단 날탈업적도 해야하는데..."
"가속 올리려면 마부 뭐해야되? - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 07:20:34","경매장에서 뭐라고 치면 나와? 무기랑 반지에 바르라던데"
"걸그룹 최고 중 한명.gif - WOW 갤러리","WOW","와갱","2018-08-23 07:00:17","ㄹㅇ"
"ㅗㅜㅑ.gif - WOW 갤러리","WOW","와갱","2018-08-23 06:51:29","퍄퍄"
"묘수풀이 첫보깼노 - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 06:39:58","- dc official App"
"이거 몸매 취향 아니면 응꼬충.gif - WOW 갤러리","WOW","와갱","2018-08-23 06:38:43","dd"
"어제 첨으로 와우시작한 5렙 와린이인데 길드 어디 가입하면 되나요?? - WOW 갤러리","WOW","여명의성녀","2018-08-23 06:33:20","친추도 해주세요 아즈샤라서버 언데드 흑마고 닉넴은 오그리마육그리마 에요"
"미연시 깔고있다 - WOW 갤러리","WOW","ㅁㅅ","2018-08-23 06:27:42","윽엑응ㅇㄱ"
"김.종.현 씨 지금 계신거 다 알고 있습니다 - WOW 갤러리","WOW","Zotata☺","2018-08-23 05:52:01","저희가 모를 것 같습니까?"
"와린인데 만랩까지 얼마나걸림? - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 05:47:25","1랩부터 만랩까지 하루에 6시간 정도 하면 얼마나 걸림? - dc official App"
"우리 캡틴~새벽부터 화장실 청소하러 갔다가 봉변 당하는거 아니노 - WOW 갤러리","WOW","Zotata☺","2018-08-23 05:45:58","훔...태풍이 좀 씨게온다던디"
"dc채널 비밀번호 언제생겻냐 비밀번호 뭐냐 - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 05:33:50","뉴비 배척당하는중?"
"바람 오지게 부네~ - WOW 갤러리","WOW","Zotata☺","2018-08-23 05:09:20","어차피 나갈일도 없잖노?"
"340 찍었다 - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 05:06:07","다음 확팩까지 접는다"
"이겜결국 나중에는 직업딜 별차이안남? - WOW 갤러리","WOW","H","2018-08-23 04:49:22","아니면 파밍다했는데도 직업딜 우위있음? 그러면 우위 딜직업좀 알려주셈"
"110렙인데 쿨 티라스 갈려면 어떻게 해야됨? - WOW 갤러리","WOW","000","2018-08-23 02:35:17","줄다자르 항구에 언데드 선장이 있는데 선장한테 물어보면 ?표시가 없음 알 려주셈"
"오늘 처음 시작했는데 고인물 길드 아재들 친절해서 좋다 - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 02:15:52","더 친절하게 대해줄테니 제발 그만두지 말래ㅠ.ㅠ"
"박졍원 씨, 진정하쉽시요 - WOW 갤러리","WOW","도박중독자","2018-08-23 01:47:44","호호...제가 한 번도 경험해보지 못한 쉐로운 나라를 만든다고 하지 않았슙니꽈"
"히오스? - WOW 갤러리","WOW","공룡","2018-08-23 01:23:19","(긁적)"
"이거보니까 또 열불 확 뻗치네 씹ㅋㅋ - WOW 갤러리","WOW","꺼억","2018-08-23 01:13:37","문과새끼 씨발ㅋㅋ진짜 ㅋㅋ 이런새끼를 좋다고 뽑아 아주 ㅋㅋ 병신같은 40% 새끼들"
"확장팩 언제 나왔냐? 지금 접속해 렙업하는데 지장 없냐? - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 01:12:20","근데, 와우 오리지널은 언제 나오냐?"
"흠 이시간에 히오스할 미친놈 있~나~? - WOW 갤러리","WOW","호토리","2018-08-23 01:10:59","없나~?"
"헐 묘수풀이 이거 재밋는거네~ - WOW 갤러리","WOW","이희호","2018-08-23 01:08:45","오목 묘수풀이 내 개열심히햇는데~"
"모냐 박붐 왜케 으려운데.. - WOW 갤러리","WOW","가유","2018-08-23 00:58:29","손놈 안혀봣다고"
"파흑은 왜 유물무기 스킬 없앴냐; - WOW 갤러리","WOW","1111","2018-08-23 00:38:15","화법은 특성 얼추 보니까 불사조랑 썬킹효과도 넣어준거같은데 파흑은 균열 왜없앴지 누르는거 그나마 생겨서 좋았었는데 그냥 또 제물 소각소각 카볼 소각소각 이거네;"
"와우확장팩 나왔냐? 광고도 없고. 가끔 겜방 가면 와우 하는 넘들도 없고 - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 00:30:47","너무 조용하다... 그런데, 오리지널은 언제 다시 나온다냐? 좀 알려줘"
"정찬성도 욱일기 언"title","category","author","date","description"
